0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1e-07,1e-07,1e-07,1e-07,1.3463516,1e-07,1e-07,2.4018145,1e-07,1e-07,1.1473352,1e-07,1e-07,1e-07,3.463845,1e-07,1e-07,1e-07,1e-07,0.5035527,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.9897342,1e-07,1e-07,1e-07,3.9227414,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.712342,1e-07,1e-07,1e-07,1e-07,2.5666752,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.67172325,1e-07,1e-07,1e-07,1e-07,0.51689243,0.10739223,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.0774238,1e-07,1e-07,1e-07,1e-07,2.6224704,1e-07,2.4191198,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.28002,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.215046,1e-07,1e-07,2.2390127,1e-07
1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0507528,1.0000001e-07,1.0000001e-07,2.1582696,1.0000001e-07,1.0000001e-07,1.0448612,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.2925942,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.85281235,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.711027,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.6909354,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.5330422,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.392675,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.47005242,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.3179732,0.040764336,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.0736194,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4481938,1.0000001e-07,2.2409523,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,7.2212496,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.83180124,1.0000001e-07,1.0000001e-07,2.007268,1.0000001e-07
1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0502212,1.0000001e-07,1.0000001e-07,2.1586092,1.0000001e-07,1.0000001e-07,1.0449919,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.2924888,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.82321036,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.710919,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.6909049,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.5331209,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.3924446,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.4699424,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.31794935,0.040671352,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.0730572,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4483898,1.0000001e-07,2.2420716,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,7.2040396,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.83180124,1.0000001e-07,1.0000001e-07,2.0071752,1.0000001e-07
1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.1019877,1.0000001e-07,1.0000001e-07,2.140708,1.0000001e-07,1.0000001e-07,1.0558969,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.2777684,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.062875,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.7358246,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.748925,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.5186965,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.353866,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.4703411,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.2317196,0.051876426,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.7461786,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4456084,1.0000001e-07,2.1989126,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,7.260907,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.82144034,1.0000001e-07,1.0000001e-07,1.975809,1.0000001e-07
1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.64358854,1.0000001e-07,1.0000001e-07,2.1369157,1.0000001e-07,0.2558607,0.4590422,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.3047855,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.81602716,1.0000001e-07,1.0000001e-07,0.14234313,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.5671804,1.0000001e-07,1.0000001e-07,1.0000001e-07,4.1953707,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4713287,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4033394,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.2738225,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.2812362,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.7811236,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.288373,1.0000001e-07,2.0590777,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,7.5034256,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.83110243,1.0000001e-07,1.0000001e-07,1.97485,1.0000001e-07
1e-07,1e-07,1e-07,1e-07,0.7853915,1e-07,1e-07,2.2285888,1e-07,0.05698922,0.50594914,1e-07,1e-07,1e-07,3.4569187,1e-07,1e-07,1e-07,1e-07,1.1313373,1e-07,1e-07,0.38053733,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.8768528,1e-07,1e-07,1e-07,3.857539,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.543595,1e-07,1e-07,1e-07,1e-07,2.4282243,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.28762472,1e-07,1e-07,1e-07,1e-07,0.3469465,0.0058564357,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.8339336,1e-07,1e-07,1e-07,1e-07,2.3875892,1e-07,2.2129235,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.2526402,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.9501218,1e-07,1e-07,2.051942,1e-07
1e-07,1e-07,1e-07,1e-07,0.8190214,1e-07,1e-07,2.2574143,1e-07,1e-07,0.5840282,1e-07,1e-07,1e-07,3.4872139,1e-07,1e-07,1e-07,1e-07,0.98068875,1e-07,1e-07,0.43333635,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.8442118,1e-07,1e-07,1e-07,3.7798405,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.5750213,1e-07,1e-07,1e-07,1e-07,2.490276,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.35212934,1e-07,1e-07,1e-07,1e-07,0.36739543,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2.9055727,1e-07,1e-07,1e-07,1e-07,2.4122415,1e-07,2.1734395,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.525937,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.9782014,1e-07,1e-07,2.0964932,1e-07
1e-07,1e-07,1e-07,1e-07,4.0875897,1e-07,1e-07,1.1845167,1e-07,1e-07,0.24095446,1e-07,1e-07,1e-07,2.2469316,1e-07,1e-07,1e-07,1e-07,0.36083576,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.611523,1e-07,1e-07,1e-07,5.6753435,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.6682456,1e-07,2.6973038,1e-07,1e-07,0.7541263,1e-07,1.1110594,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.5927019,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4.4552407,1e-07,1e-07,1e-07,0.9888018,1e-07,1e-07,1e-07,1e-07,1.9270234,0.5618512,3.2165484,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.849716,1e-07,1e-07,0.51505417,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.0203351,1e-07,1e-07,0.80028415,1e-07
1e-07,1e-07,1e-07,1e-07,4.087664,1e-07,1e-07,1.1843863,1e-07,1e-07,0.24092332,1e-07,1e-07,1e-07,2.246983,1e-07,1e-07,1e-07,1e-07,0.360965,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,3.6115682,1e-07,1e-07,1e-07,5.675355,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.6682109,1e-07,2.6611366,1e-07,1e-07,0.75420815,1e-07,1.0989277,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.59278756,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4.4054503,1e-07,1e-07,1e-07,0.98892844,1e-07,1e-07,1e-07,1e-07,1.9269342,0.54805255,3.2117014,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.8572125,1e-07,1e-07,0.5168177,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.019385,1e-07,1e-07,0.8003184,1e-07
1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,3.8637643,1.0000001e-07,1.0000001e-07,0.23051433,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.7343163,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.4248288,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,4.7152004,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.96168447,3.2507925,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,2.4873958,1.0000001e-07,1.0000001e-07,0.7625585,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07,0.94143087,1.0000001e-07,1.0000001e-07,1.0000001e-07,1.0000001e-07
